2,3,Party,Votes,Round,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,6064,R-4,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,5270,R-5,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,5955,R-6,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,6037,R-7,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,7383,R-8,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,8345,R-9,,,,,,,
C. P. Cheriya Muhammed,Thiruvambady,Indian Union Muslim League,2704,R-10,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,623,R-1,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,623,R-2,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,546,R-3,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,769,R-4,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,828,R-5,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,1549,R-6,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,1315,R-7,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,729,R-8,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,620,R-9,,,,,,,
Baby Ambattu,Thiruvambady,Bharatiya Janata Party,30,R-10,,,,,,,
Linto Joseph,Thiruvambady,Communist Party of India (Marxist),6379,R-1,,,,,,,
Linto Joseph,Thiruvambady,Communist Party of India (Marxist),6500,R-2,,,,,,,
Linto Joseph,Thiruvambady,Communist Party of India (Marxist),6300,R-3,,,,,,,
Linto Joseph,Thiruvambady,Communist Party of India (Marxist),7096,R-4,,,,,,,
