O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes,Constituency,Distirct,Alliance,,,
3,Adv.V.V.Rajesh,Bharatiya Janata Party,38558,1038,39596,28.77,Vattiyoorkavu,Thiruvananthapuram,NDA,,,
4,Adv.Veena.S.Nair,Indian National Congress,34292,1163,35455,25.76,Vattiyoorkavu,Thiruvananthapuram,UDF,,,
5,A.Shyju,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),200,1,201,0.15,Vattiyoorkavu,Thiruvananthapuram,OTH,,,
6,Nota,None of the Above,844,10,854,0.62,Vattiyoorkavu,Thiruvananthapuram,OTH,,,
1,Krishnakumar G,Bharatiya Janata Party,34371,625,34996,27.29,Thiruvananthapuram,Thiruvananthapuram,NDA,,,
2,V .S .Sivakumar,Indian National Congress,40804,855,41659,32.49,Thiruvananthapuram,Thiruvananthapuram,UDF,,,
3,Adv.Antony Raju,Janadhipathiya Kerala Congress,47950,798,48748,38.01,Thiruvananthapuram,Thiruvananthapuram,LDF,,,
4,A .Saboora,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),356,10,366,0.29,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
5,Abhilash Vadakkan,Independent,433,3,436,0.34,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
6,Antony Raju S/O Raju,Independent,185,5,190,0.15,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
7,Krishnakumar T .S S/O Sankarankutty,Independent,87,2,89,0.07,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
8,Chala Mohanan D,Independent,238,7,245,0.19,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
9,Raju Antony,Independent,281,8,289,0.23,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
10,Sivakumar. K S/O Kumara Swamy,Independent,161,3,164,0.13,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
11,Nota,None of the Above,1034,20,1054,0.82,Thiruvananthapuram,Thiruvananthapuram,OTH,,,
1,Kummanam Rajasekharan,Bharatiya Janata Party,50856,1032,51888,35.54,Nemom,Thiruvananthapuram,NDA,,,
2,K.Muraleedharan,Indian National Congress,35532,992,36524,25.01,Nemom,Thiruvananthapuram,UDF,,,
3,D.Vijayan,Bahujan Samaj Party,352,4,356,0.24,Nemom,Thiruvananthapuram,OTH,,,
4,V.Sivankutty,Communist Party of India (Marxist),54452,1385,55837,38.24,Nemom,Thiruvananthapuram,LDF,,,
5,Jain Wilson,Independent,164,1,165,0.11,Nemom,Thiruvananthapuram,OTH,,,
6,Balachandran Valkannadi,Independent,84,1,85,0.06,Nemom,Thiruvananthapuram,OTH,,,
7,Muraleedharan Nair,Independent,46,2,48,0.03,Nemom,Thiruvananthapuram,OTH,,,
8,Rajasekharan,Independent,46,4,50,0.03,Nemom,Thiruvananthapuram,OTH,,,
9,Arampally Vijayaraj,Independent,136,2,138,0.09,Nemom,Thiruvananthapuram,OTH,,,
10,Shine Raj.B,Independent,65,5,70,0.05,Nemom,Thiruvananthapuram,OTH,,,
11,L Sathyan Nadar,Independent,100,0,100,0.07,Nemom,Thiruvananthapuram,OTH,,,
12,Nota,None of the Above,749,7,756,0.52,Nemom,Thiruvananthapuram,OTH,,,
1,Krishnankutty. M,Bahujan Samaj Party,904,19,923,0.63,Aruvikkara,Thiruvananthapuram,OTH,,,
2,K. S. Sabarinadhan,Indian National Congress,59877,1853,61730,42.37,Aruvikkara,Thiruvananthapuram,UDF,,,
3,C. Sivankutty,Bharatiya Janata Party,15060,319,15379,10.55,Aruvikkara,Thiruvananthapuram,NDA,,,
4,Adv. G. Steephen,Communist Party of India (Marxist),64795,1981,66776,45.83,Aruvikkara,Thiruvananthapuram,LDF,,,
5,Nota,None of the Above,885,15,900,0.62,Aruvikkara,Thiruvananthapuram,OTH,,,
1,An Sajitha Ressal.R.K,Indian National Congress,51273,1447,52720,32.33,Parassala,Thiruvananthapuram,UDF,,,
2,J.R.Jayakumar,Bahujan Samaj Party,775,3,778,0.48,Parassala,Thiruvananthapuram,OTH,,,
3,Karamana Jayan,Bharatiya Janata Party,29195,655,29850,18.3,Parassala,Thiruvananthapuram,NDA,,,
4,C.K.Hareendran,Communist Party of India (Marxist),76302,2246,78548,48.16,Parassala,Thiruvananthapuram,LDF,,,
5,Shaju Paliyodu,Independent,400,2,402,0.25,Parassala,Thiruvananthapuram,OTH,,,
6,Selvaraj.J.R,Independent,159,3,162,0.1,Parassala,Thiruvananthapuram,OTH,,,
7,Nota,None of the Above,623,7,630,0.39,Parassala,Thiruvananthapuram,OTH,,,
1,P.K Krishnadas,Bharatiya Janata Party,33755,787,34542,23.72,Kattakkada,Thiruvananthapuram,NDA,,,
2,Malayinkeezhu Venugopal,Indian National Congress,41723,1339,43062,29.57,Kattakkada,Thiruvananthapuram,UDF,,,
3,Adv I B Satheesh,Communist Party of India (Marxist),64159,2134,66293,45.52,Kattakkada,Thiruvananthapuram,LDF,,,
4,Kandala Suresh,Bahujan Samaj Party,623,5,628,0.43,Kattakkada,Thiruvananthapuram,OTH,,,
5,Sreekala Nadar,Independent,256,10,266,0.18,Kattakkada,Thiruvananthapuram,OTH,,,
6,Syriac Damian V. P,Independent,126,3,129,0.09,Kattakkada,Thiruvananthapuram,OTH,,,
7,Nota,None of the Above,686,13,699,0.48,Kattakkada,Thiruvananthapuram,OTH,,,
1,Vishnupuram Chandrasekharan,Bharatiya Janata Party,18267,397,18664,11.73,Kovalam,Thiruvananthapuram,NDA,,,
2,Neelalohithadasan Nadar,Janata Dal (Secular),61582,1724,63306,39.79,Kovalam,Thiruvananthapuram,LDF,,,
3,Adv. M. Vincent,Indian National Congress,72676,2192,74868,47.06,Kovalam,Thiruvananthapuram,UDF,,,
4,Kanchampazhinji Sasikumar,Bahujan Samaj Party,635,6,641,0.4,Kovalam,Thiruvananthapuram,OTH,,,
5,Ajil R.A.,Independent,141,6,147,0.09,Kovalam,Thiruvananthapuram,OTH,,,
6,Venganoor Asokan,Independent,268,16,284,0.18,Kovalam,Thiruvananthapuram,OTH,,,
7,Prince V.S.,Independent,402,15,417,0.26,Kovalam,Thiruvananthapuram,OTH,,,
8,Nota,None of the Above,758,15,773,0.49,Kovalam,Thiruvananthapuram,OTH,,,
1,K. Ansalan,Communist Party of India (Marxist),63345,2152,65497,47.02,Neyyattinkara,Thiruvananthapuram,LDF,,,
2,Premakumar. T. R,Bahujan Samaj Party,626,17,643,0.46,Neyyattinkara,Thiruvananthapuram,OTH,,,
3,Chenkal. S. Rajasekharan Nair,Bharatiya Janata Party,20475,534,21009,15.08,Neyyattinkara,Thiruvananthapuram,NDA,,,
4,Selvaraj. R,Indian National Congress,49451,1784,51235,36.78,Neyyattinkara,Thiruvananthapuram,UDF,,,
5,Nota,None of the Above,892,15,907,0.65,Neyyattinkara,Thiruvananthapuram,OTH,,,
